scenario,N_intervals,seed,chosen,n_clusters,noise_pct,chi_min,chi_max,flagged
S1,3,42,False,6,6.6,0.161,0.694,False
S1,3,123,False,4,35.3,0.161,0.692,True
S1,3,456,False,6,6.6,0.161,0.694,False
S1,4,42,False,11,7.4,0.137,0.713,False
S1,4,123,True,10,7.4,0.136,0.713,False
S1,4,456,False,10,7.4,0.136,0.713,False
S2,3,42,False,13,7.5,0.202,0.697,True
S2,3,123,True,13,7.5,0.201,0.692,True
S2,3,456,False,13,7.5,0.201,0.692,True
S2,4,42,False,25,7.0,0.181,0.746,False
S2,4,123,False,17,7.1,0.184,0.752,False
S2,4,456,False,26,7.0,0.181,0.746,False
S3,3,42,False,7,7.5,0.134,0.861,False
S3,3,123,True,7,7.5,0.134,0.861,False
S3,3,456,False,7,7.5,0.134,0.861,False
S3,4,42,False,9,15.7,0.122,0.885,True
S3,4,123,False,9,15.4,0.122,0.888,True
S3,4,456,False,8,15.9,0.121,0.885,True
